nombre,genero,tipo,padre,activa,hoyos,par_decl,par_suma,flags,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,revision_juanjo
Polo San Cristóbal,X,18h,,SI,18,72,72,,4,5,3,4,4,3,5,4,4,4,4,5,3,4,4,3,5,4,
Prince Of Wales C.C. - Prince of Wales (DAMAS),D,18h,,SI,18,72,72,,4,4,5,3,4,4,3,4,5,4,3,4,4,5,3,4,4,5,
Prince Of Wales C.C. - Prince of Wales (VARONES),V,18h,,SI,18,72,72,,4,4,5,3,4,4,3,4,5,4,3,4,4,5,3,4,4,5,
Quinteros Golf C.C. - Quinteros (DAMAS),D,18h,,SI,18,72,72,,4,3,4,5,4,3,4,5,4,4,4,4,4,5,3,5,3,4,
Quinteros Golf C.C. - Quinteros (VARONES),V,18h,,SI,18,72,72,,4,3,4,5,4,3,4,5,4,4,4,4,4,5,3,5,3,4,
Real del Monte Golf Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Talca C.C. - Talca (DAMAS),D,18h,,SI,18,72,72,,3,5,4,5,4,3,4,5,3,3,5,4,5,4,3,4,4,4,
Talca C.C. - Talca (VARONES),V,18h,,SI,18,72,72,,3,5,4,5,4,3,4,5,3,3,5,4,5,4,3,4,4,4,
Talca Country Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Valdivia G.C. - Valdivia (DAMAS),D,18h,,SI,18,72,72,,4,5,5,3,4,4,4,3,4,4,5,4,3,4,4,4,3,5,
Valdivia G.C. - Valdivia (VARONES),V,18h,,SI,18,72,72,,4,5,5,3,4,4,4,3,4,4,5,4,3,4,4,4,3,5,
Valdivia Golf Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
