nombre,genero,tipo,padre,activa,hoyos,par_decl,par_suma,flags,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,revision_juanjo
C.G. Las Brisas De Chicureo - El Valle (DAMAS),D,18h,,SI,18,72,72,,5,4,3,4,4,5,3,4,5,4,3,5,3,4,4,5,3,4,
C.G. Las Brisas De Chicureo - El Valle (VARONES),V,18h,,SI,18,72,72,,5,4,3,4,4,5,3,4,5,4,3,5,3,4,4,5,3,4,
C.G. Las Brisas De Chicureo - La Montana (DAMAS),D,18h,,SI,18,72,72,,4,4,4,3,4,5,4,3,5,4,4,5,4,3,4,3,4,5,
C.G. Las Brisas De Chicureo - La Montana (VARONES),V,18h,,SI,18,72,72,,4,4,4,3,4,5,4,3,5,4,4,5,4,3,4,3,4,5,
C.G. Las Brisas De Santo Domingo - Este - Norte (DAMAS),D,18h,,SI,18,72,72,,5,3,4,4,5,4,3,4,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Este - Norte (VARONES),V,18h,,SI,18,72,72,,5,3,4,4,5,4,3,4,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Este - Sur (DAMAS),D,18h,,SI,18,72,72,,5,3,4,4,5,4,3,4,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Este - Sur (VARONES),V,18h,,SI,18,72,72,,5,3,4,4,5,4,3,4,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Norte - Este (DAMAS),D,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,5,3,4,4,5,4,3,4,4,
C.G. Las Brisas De Santo Domingo - Norte - Este (VARONES),V,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,5,3,4,4,5,4,3,4,4,
C.G. Las Brisas De Santo Domingo - Norte - Sur (DAMAS),D,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Norte - Sur (VARONES),V,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Sur - Este (DAMAS),D,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,5,3,4,4,5,4,3,4,4,
C.G. Las Brisas De Santo Domingo - Sur - Este (VARONES),V,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,5,3,4,4,5,4,3,4,4,
C.G. Las Brisas De Santo Domingo - Sur - Norte (DAMAS),D,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,4,4,4,3,5,4,3,5,4,
C.G. Las Brisas De Santo Domingo - Sur - Norte (VARONES),V,18h,,SI,18,72,72,,4,4,4,3,5,4,3,5,4,4,4,4,3,5,4,3,5,4,
C.G. Lomas De La Dehesa - Lomas de La Dehesa (DAMAS),D,18h,,NO,18,72,72,,4,4,3,4,4,3,4,5,5,4,5,4,5,4,3,4,3,4,
C.G. Lomas De La Dehesa - Lomas de La Dehesa (VARONES),V,18h,,NO,18,72,72,,4,4,3,4,4,3,4,5,5,4,5,4,5,4,3,4,3,4,
C.G. Los Leones - Los Leones (DAMAS),D,18h,,NO,18,72,72,,4,4,3,5,4,3,4,4,5,4,3,4,4,3,4,4,5,5,
C.G. Los Leones - Los Leones (VARONES),V,18h,,NO,18,72,72,,4,4,3,5,4,3,4,4,5,4,3,4,4,3,4,4,5,5,
C.G. Los Lirios Rancagua - Los Lirios (DAMAS),D,18h,,SI,18,72,72,,4,5,3,4,4,3,4,5,4,4,3,5,3,4,4,4,5,4,
C.G. Los Lirios Rancagua - Los Lirios (VARONES),V,18h,,SI,18,72,72,,4,5,3,4,4,3,4,5,4,4,3,5,3,4,4,4,5,4,
C.G. Mapocho - Mapocho (DAMAS),D,18h,,SI,18,72,72,,5,5,3,4,4,3,5,3,4,4,4,5,3,4,4,4,3,5,
C.G. Mapocho - Mapocho (VARONES),V,18h,,SI,18,72,72,,5,5,3,4,4,3,5,3,4,4,4,5,3,4,4,4,3,5,
C.G. Papudo - Papudo (DAMAS),D,18h,,SI,18,68,68,,4,3,4,3,4,3,5,4,4,3,5,3,4,3,4,4,4,4,
C.G. Papudo - Papudo (VARONES),V,18h,,SI,18,68,68,,3,5,3,4,3,4,4,4,4,4,3,4,3,4,3,5,4,4,
C.G. Rinconada De Chillan - Rinconada (DAMAS),D,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,4,5,4,4,3,5,3,4,
C.G. Rinconada De Chillan - Rinconada (VARONES),V,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,4,5,4,4,3,5,3,4,
C.G. Rio Lluta - Rio Lluta (DAMAS),D,18h,,SI,18,72,72,,4,5,4,3,5,3,4,4,4,4,3,5,4,4,5,3,4,4,
C.G. Rio Lluta - Rio Lluta (VARONES),V,18h,,SI,18,72,72,,4,5,4,3,5,3,4,4,4,4,3,5,4,4,5,3,4,4,
C.G. Rio Loa - Rio Loa (DAMAS),D,18h,,SI,18,72,72,,4,3,4,5,3,4,4,4,5,4,5,4,4,4,4,3,5,3,
C.G. Rio Loa - Rio Loa (VARONES),V,18h,,SI,18,72,72,,4,3,4,5,3,4,4,4,5,4,5,4,4,4,4,3,5,3,
C.G. Rocas De Santo Domingo - Antigua (DAMAS),D,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,5,4,3,4,3,5,4,4,
C.G. Rocas De Santo Domingo - Antigua (VARONES),V,18h,,SI,18,72,72,,4,4,5,4,4,3,5,3,4,4,5,4,3,4,3,5,4,4,
C.G. Rocas De Santo Domingo - Azul - Blanca (DAMAS),D,18h,,SI,18,72,72,,4,5,4,3,4,5,4,3,4,4,4,3,5,4,4,4,3,5,
C.G. Rocas De Santo Domingo - Azul - Blanca (VARONES),V,18h,,SI,18,72,72,,4,5,4,3,4,5,4,3,4,4,4,3,5,4,4,4,3,5,
